location_id,statistic_zone_id,province_name,statistic_zone_name,municipality_slug,municipality_lat,municipality_lon,municipality_name
28180,08,Madrid,Sudeste Comunidad,villarejo-de-salvanes,40.1681485,-3.275967,Villarejo de Salvanés
28181,05,Madrid,Oeste Metropolitano,villaviciosa-de-odon,40.3626807,-3.9139109,Villaviciosa de Odón
28182,06,Madrid,Sierra Norte,villavieja-del-lozoya,41.0063444,-3.6711079,Villavieja del Lozoya
28183,10,Madrid,Sierra Sur,zarzalejo,40.5403425,-4.1596946,Zarzalejo
28901,06,Madrid,Sierra Norte,lozoyuela-navas-sieteiglesias,40.9124015,-3.6116494,Lozoyuela-Navas-Sieteiglesias
28902,06,Madrid,Sierra Norte,puentes-viejas,40.964983,-3.583199,Puentes Viejas
28903,02,Madrid,Norte Metropolitano,tres-cantos,40.600727,-3.7079745,Tres Cantos
45019,13,Toledo,Municipios de la Provincia de Toledo,bargas,39.9399375,-4.0210189,Bargas
45021,13,Toledo,Municipios de la Provincia de Toledo,borox,40.0721403,-3.7388081,Borox
45025,13,Toledo,Municipios de la Provincia de Toledo,cabanas-de-la-sagra,40.0077856,-3.9483142,Cabañas de la Sagra
45031,13,Toledo,Municipios de la Provincia de Toledo,camarena,40.0914294,-4.1193959,Camarena
45038,13,Toledo,Municipios de la Provincia de Toledo,carranque,40.1705846,-3.8999013,Carranque
45041,13,Toledo,Municipios de la Provincia de Toledo,casarrubios-del-monte,40.1836187,-4.0362101,Casarrubios del Monte
45047,13,Toledo,Municipios de la Provincia de Toledo,cedillo-del-condado,40.116053,-3.9253761,Cedillo del Condado
45050,13,Toledo,Municipios de la Provincia de Toledo,ciruelos,39.9385333,-3.6148151,Ciruelos
45056,13,Toledo,Municipios de la Provincia de Toledo,chozas-de-canales,40.0991509,-4.0452765,Chozas de Canales
45064,13,Toledo,Municipios de la Provincia de Toledo,esquivias,40.1033769,-3.767635899999999,Esquivias
45066,13,Toledo,Municipios de la Provincia de Toledo,fuensalida,40.0510725,-4.2102716,Fuensalida
45081,13,Toledo,Municipios de la Provincia de Toledo,illescas,40.1262812,-3.8489895,Illescas
45085,13,Toledo,Municipios de la Provincia de Toledo,lominchar,40.09156249999999,-3.9687122,Lominchar
45088,13,Toledo,Municipios de la Provincia de Toledo,magan,39.9596149,-3.933020999999999,Magán
45099,13,Toledo,Municipios de la Provincia de Toledo,mentrida,40.2394809,-4.1936206,Méntrida
45102,13,Toledo,Municipios de la Provincia de Toledo,mocejon,39.9382934,-3.9190062,Mocejón
45119,13,Toledo,Municipios de la Provincia de Toledo,numancia-de-la-sagra,40.0770092,-3.8570215,Numancia de la Sagra
45121,13,Toledo,Municipios de la Provincia de Toledo,ocana,39.9569147,-3.4982579,Ocaña
45122,13,Toledo,Municipios de la Provincia de Toledo,olias-del-rey,39.9449708,-3.9865671,Olías del Rey
45123,13,Toledo,Municipios de la Provincia de Toledo,ontigola,40.0097043,-3.5724118,Ontígola
45127,13,Toledo,Municipios de la Provincia de Toledo,palomeque,40.1198676,-3.963612,Palomeque
45128,13,Toledo,Municipios de la Provincia de Toledo,pantoja,40.0448315,-3.836269399999999,Pantoja
45134,13,Toledo,Municipios de la Provincia de Toledo,portillo-de-toledo,40.0619825,-4.226927799999999,Portillo de Toledo
45157,13,Toledo,Municipios de la Provincia de Toledo,santa-cruz-del-retamar,40.1176861,-4.2423075,Santa Cruz del Retamar
45161,13,Toledo,Municipios de la Provincia de Toledo,sesena,40.1051029,-3.6927472,Seseña
45168,13,Toledo,Municipios de la Provincia de Toledo,toledo,39.8628316,-4.027323099999999,Toledo
45171,13,Toledo,Municipios de la Provincia de Toledo,torre-de-esteban-hambran,40.1663643,-4.2154664,Torre de Esteban Hambrán
45176,13,Toledo,Municipios de la Provincia de Toledo,ugena,40.1585774,-3.8769847,Ugena
45180,13,Toledo,Municipios de la Provincia de Toledo,valmojado,40.2049459,-4.088712999999999,Valmojado
45183,13,Toledo,Municipios de la Provincia de Toledo,las-ventas-de-retamosa,40.1582123,-4.1462582,Las Ventas de Retamosa
45188,13,Toledo,Municipios de la Provincia de Toledo,villaluenga-de-la-sagra,40.02312269999999,-3.9113634,Villaluenga de la Sagra
45199,13,Toledo,Municipios de la Provincia de Toledo,el-viso-de-san-juan,40.1437281,-3.9196432,El Viso de San Juan
45201,13,Toledo,Municipios de la Provincia de Toledo,yeles,40.1206959,-3.8051187,Yeles
45203,13,Toledo,Municipios de la Provincia de Toledo,yuncler,40.04262689999999,-3.9024482,Yuncler
45205,13,Toledo,Municipios de la Provincia de Toledo,yuncos,40.0883936,-3.8731663,Yuncos
