location_id,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados-ss,autonomos,empresas,personas-paradas,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales
28138,"Serna del Monte, La",serna-del-monte-la,40.4724364,-3.7196632,27,10,12,5,77,NA,NA,113,41
28159,Valdemaqueda,valdemaqueda,40.5104708,-4.2974563,124,56,47,78,779,NA,NA,988,351
28902,Puentes Viejas,puentes-viejas,40.964983,-3.583199,76,40,29,49,627,NA,NA,900,296
28011,Ambite,ambite,40.3283739,-3.1823592,72,32,29,70,595,NA,NA,736,261
28024,Braojos,braojos,41.0402585,-3.6429982,45,24,18,12,201,NA,NA,238,86
28025,Brea de Tajo,brea-de-tajo,40.2295666,-3.1096078,473,33,15,60,560,NA,NA,474,199
28029,Cabanillas de la Sierra,cabanillas-de-la-sierra,40.8187877,-3.6246658,120,45,52,33,719,NA,NA,628,310
28064,Gascones,gascones,41.0182682,-3.6417313,53,19,18,11,171,NA,NA,171,72
28069,"Hiruela, La",hiruela-la,40.4722377,-3.7188647,15,0,0,1,54,NA,NA,141,36
28070,Horcajo de la Sierra-Aoslos,horcajo-de-la-sierra-aoslos,41.0551319,-3.5967937,43,11,10,5,143,NA,NA,385,90
28076,Lozoya,lozoya,40.9553281,-3.7969976,126,43,45,28,576,NA,NA,787,289
28107,Patones,patones,40.8544733,-3.4839237,108,27,28,20,537,NA,NA,472,194
28118,Puebla de la Sierra,puebla-de-la-sierra,41.0117046,-3.4451018,26,0,6,NA,66,NA,NA,171,52
28126,Robregordo,robregordo,41.10675,-3.5934508,7,0,0,1,45,NA,NA,159,40
28136,Santorcaz,santorcaz,40.4720739,-3.2338527,78,44,41,49,851,NA,NA,576,322
28158,Valdemanco,valdemanco,40.8722993,-3.6629577,154,65,71,43,911,NA,NA,1148,380
28163,Valdepiélagos,valdepielagos,40.7608617,-3.4656137,90,48,37,31,574,NA,NA,469,211
28182,Villavieja del Lozoya,villavieja-del-lozoya,41.0063444,-3.6711079,45,24,15,12,270,NA,NA,431,122
28021,"Berrueco, El",berrueco-el,40.8893089,-3.5629234,131,40,38,46,752,NA,NA,831,255
28063,Gargantilla del Lozoya y Pinilla de Buitrago,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.9648298,-3.7079745,112,28,27,13,325,NA,NA,936,183
28071,Horcajuelo de la Sierra,horcajuelo-de-la-sierra,41.0602602,-3.5461651,31,7,5,1,86,NA,NA,165,43
28088,Montejo de la Sierra,montejo-de-la-sierra,41.0595052,-3.5297283,154,23,29,11,359,NA,NA,411,126
28114,Piñuécar-Gandullas,pinuecar-gandullas,41.0288141,-3.596457,31,14,17,9,185,NA,NA,236,77
28166,Valverde de Alcalá,valverde-de-alcala,40.4190426,-3.2989252,47,28,21,24,430,NA,NA,260,175
28016,"Atazar, El",atazar-el,40.3988486,-3.6861415,12,0,0,7,95,NA,NA,70,41
28048,Corpa,corpa,40.4254386,-3.2640205,62,29,24,46,672,NA,NA,407,258
28078,Madarcos,madarcos,41.0476701,-3.5820602,16,8,0,1,47,NA,NA,78,26
28111,Pezuela de las Torres,pezuela-de-las-torres,40.418973,-3.1760832,131,49,46,40,793,NA,NA,752,295
28112,Pinilla del Valle,pinilla-del-valle,40.9265024,-3.8203738,21,8,6,11,192,NA,NA,287,97
28121,Redueña,reduena,40.8163179,-3.6032704,73,19,14,10,261,NA,NA,252,133
28124,Robledillo de la Jara,robledillo-de-la-jara,40.9525839,-3.525304,7,0,0,3,99,NA,NA,191,46
28153,Torremocha de Jarama,torremocha-de-jarama,40.8421508,-3.4946603,262,41,57,51,906,NA,NA,510,285
