location_id,stillworkers,total_workers,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados_ss,autonomos,empresas,personas_paradas,poblacion,renta_bruta_media,renta_disponible_media,viviendas_familiares,viviendas_principales,movingworkers,pob_psactiva,tasa_movilidad
28144,582,2667,Soto del Real,soto-del-real,40.7528628,-3.7816093,2260,670,567,367,8483,33973,26539,5214,2316,2085,3034,0.78177727784027
28145,196,1221,Talamanca de Jarama,talamanca-de-jarama,40.7451696,-3.5111468,588,223,203,186,3451,24014,19682,1949,1152,1025,1407,0.8394758394758395
28146,202,835,Tielmes,tielmes,40.2475704,-3.3124535,579,140,112,216,2620,18939,16127,1466,953,633,1051,0.7580838323353294
28147,45,367,Titulcia,titulcia,40.1377552,-3.5698814,181,88,64,93,1258,21341,18005,679,467,322,460,0.8773841961852861
28148,11800,46657,Torrejón de Ardoz,torrejon-de-ardoz,40.4567552,-3.4754967,31791,6075,5729,8886,126981,23510,19473,49209,44581,34857,55543,0.7470904687399533
28149,424,2671,Torrejón de la Calzada,torrejon-de-la-calzada,40.1969481,-3.7981283,4979,742,662,455,8171,28127,22725,2786,2501,2247,3126,0.8412579558217896
28150,132,1280,Torrejón de Velasco,torrejon-de-velasco,40.1874784,-3.7752572,868,308,291,260,4243,23646,19642,1769,1417,1148,1540,0.896875
28151,291,1536,Torrelaguna,torrelaguna,40.8275222,-3.5395265,635,239,231,268,4697,22666,18914,2619,1842,1245,1804,0.810546875
28152,1045,7109,Torrelodones,torrelodones,40.5766078,-3.9293646,6427,1956,2180,730,23123,45691,34248,8253,6962,6064,7839,0.8530032353354903
28153,67,268,Torremocha de Jarama,torremocha-de-jarama,40.8421508,-3.4946603,262,41,57,51,906,NA,NA,510,285,201,319,0.75
28154,525,2380,Torres de la Alameda,torres-de-la-alameda,40.4054714,-3.3615643,2850,548,560,610,7769,22749,18957,2940,2587,1855,2990,0.7794117647058824
28155,22,153,Valdaracete,valdaracete,40.2106498,-3.1949136,66,31,24,50,641,NA,NA,470,250,131,203,0.8562091503267973
28156,40,446,Valdeavero,valdeavero,40.6336227,-3.3351139,270,101,103,114,1407,21825,18365,922,556,406,560,0.9103139013452914
28157,26,206,Valdelaguna,valdelaguna,40.1616853,-3.3678641,92,35,52,70,841,NA,NA,728,319,180,276,0.8737864077669902
28158,42,234,Valdemanco,valdemanco,40.8722993,-3.6629577,154,65,71,43,911,NA,NA,1148,380,192,277,0.8205128205128205
28159,33,171,Valdemaqueda,valdemaqueda,40.5104708,-4.2974563,124,56,47,78,779,NA,NA,988,351,138,249,0.8070175438596491
28160,676,3809,Valdemorillo,valdemorillo,40.4882928,-4.0337846,2527,1024,1039,679,12168,33196,26205,7054,4412,3133,4488,0.8225255972696246
28161,5976,25410,Valdemoro,valdemoro,40.1912403,-3.6740182,20640,3732,3874,4648,72988,25956,21255,27598,24839,19434,30058,0.7648170011806376
28162,156,1260,Valdeolmos-Alalpardo,valdeolmos-alalpardo,40.641084,-3.453025,972,330,292,166,3880,33094,26137,1870,1254,1104,1426,0.8761904761904762
28163,20,168,Valdepiélagos,valdepielagos,40.7608617,-3.4656137,90,48,37,31,574,NA,NA,469,211,148,199,0.8809523809523809
28164,171,1304,Valdetorres de Jarama,valdetorres-de-jarama,40.6955184,-3.5129811,849,338,292,293,4260,25925,21148,2239,1455,1133,1597,0.8688650306748467
28165,181,836,Valdilecha,valdilecha,40.2937839,-3.3023856,652,157,137,233,2749,19868,16876,1626,1023,655,1069,0.7834928229665071
28166,5,131,Valverde de Alcalá,valverde-de-alcala,40.4190426,-3.2989252,47,28,21,24,430,NA,NA,260,175,126,155,0.9618320610687023
28167,684,4540,Velilla de San Antonio,velilla-de-san-antonio,40.3699557,-3.4864498,11608,786,821,754,12222,24905,20345,4372,4127,3856,5294,0.8493392070484581
